Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2025-02-25,الحمامات ,0.0,78.5,45.88323073531572,407.0,322.1799999202789,18.5,182.0
2025-02-25,زغوان,0.0,117.5,50.68351651172577,571.5,318.03249003576985,48.0,190.5
2025-02-25,الفحص ,0.0,78.0,43.12083339318633,462.0,259.4025710261796,15.0,211.0
2025-02-25,سد بئر مشارقة ,0.0,50.5,47.86399996817113,336.5,274.19346895739756,27.5,127.5
2025-02-25,صواف,0.0,53.0,41.92034580437005,329.0,256.99111417883717,16.0,142.0
2025-02-25,الجبيبنة 3 النظور,0.0,62.0,41.47247059652035,271.5,241.28400012269617,12.0,172.0
2025-02-25,بنزرت سيدي أحمد ,0.2,51.2,82.76799988634309,367.3,475.6162003442645,48.4,297.0
2025-02-25,تينجة,0.4,60.9,81.10246156474717,368.29999999999995,440.011069929021,54.2,280.9
2025-02-25,راس الجبل,0.0,73.3,75.56231884096844,335.40000000000003,433.4245602304641,56.5,261.1
2025-02-25,العالية,0.0,93.5,56.62383688394349,474.0,353.69478598796513,47.0,233.0
2025-02-25,ماطر,0.0,64.0,71.41661541003447,401.5,385.6335512717159,61.5,320.5
2025-02-25, جومين,0.0,56.0,109.33941343680124,476.0,522.4687927348577,61.0,404.5
2025-02-25,سجنان,0.5,82.0,105.23138456546344,594.3,622.2329386842616,65.0,490.5
2025-02-25,القيروان ,0.0,43.2,23.00466666315993,204.2,194.23000039562592,12.3,130.3
2025-02-25,حفوز,0.0,18.0,21.707316997029434,111.5,192.91981731141672,0.0,78.0
2025-02-25,سد نبهانة,0.0,80.5,26.429268413927502,258.0,183.38048766535232,14.5,85.5
2025-02-25,الوسلاتية,0.0,46.0,34.820138897953754,167.0,240.88816518313092,7.5,93.0
2025-02-25,السبيخة,0.0,46.0,26.253999955356118,234.5,211.5159999911488,8.0,105.0
2025-02-25,سيدي عمر بوحجلة,0.0,40.0,21.698615379608594,175.0,172.3815103416175,10.0,140.5
2025-02-25,سد سيدي سعد,0.0,22.5,18.428000015020366,156.9,149.09800011530533,6.5,70.5
2025-02-25,القصرين,0.0,21.5,18.87753845536938,158.9,149.6000000250339,2.6,98.1
2025-02-25,فريانة ,0.0,22.0,17.345833322964605,115.5,154.45624997699625,0.0,33.5
2025-02-25,فوسانة,0.0,39.5,14.058695712977128,189.5,122.13083802681851,13.0,45.5
2025-02-25,خنقة الزازية,0.0,36.2,16.885999983331335,116.5,131.82199991464609,0.0,39.2
2025-02-25,سبيبة ,0.0,30.5,22.44637687396312,104.3,174.1911593655169,2.0,75.0
2025-02-25,سبيطلة,0.0,32.0,17.83276931826885,130.2,138.78600029408926,0.0,75.0
2025-02-25,تالة ,0.0,55.0,34.47184617174359,193.0,231.83400014743214,12.0,142.0
2025-02-25,سيدي بوزيد,0.0,61.0,21.41458336325983,286.29999999999995,176.06932905679102,1.0,72.0
2025-02-25,سيدي علي بن عون,0.0,20.0,15.415425559941756,223.5,139.9093567397637,0.5,85.5
2025-02-25,بير الحفي,0.0,29.0,13.960307686764457,227.8,144.4040816350069,0.5,56.5
2025-02-25,المكناسي ,0.0,77.5,14.245384584092177,185.0,137.20342865150496,0.0,26.0
2025-02-25,الرقاب ,0.0,32.0,13.609956711127518,268.7,138.35299999642618,0.0,48.0
2025-02-25,جلمة ,0.0,19.5,15.688717960903784,117.8,130.97169319614332,1.0,72.0
2025-02-25,المزونة,0.0,42.5,14.031250029802322,145.0,130.7279255534555,0.0,23.0
2025-02-25,سوسة,0.0,50.0,32.90054934764254,320.5,256.19795921490515,7.0,150.0
2025-02-25,النفيضة,0.0,49.0,37.20000000395205,368.3,255.89749432470674,8.0,176.5
2025-02-25,مساكن ,0.0,43.0,27.162769271032168,297.5,238.26416475251685,4.5,199.5
2025-02-25,سيدي بوعلي ,0.0,75.0,33.334437545854286,367.0,234.805981534654,13.0,131.0
2025-02-25,الكندار,0.0,27.0,27.027083285152912,266.5,204.59923609909112,5.0,104.5
2025-02-25,المنستير,0.0,89.0,32.94189858058568,484.0,249.68207392870966,25.0,258.0
2025-02-25,المكنين ,0.0,89.0,36.12169231818272,539.0,280.04420431020304,13.0,212.0
2025-02-25,طبلبة,0.0,53.0,34.73809523485145,518.0,283.6703312837836,13.0,200.0
